00:00:21.608;A;$GPGSV,2,2,07,02,34,101,43,05,18,304,40,26,09,223,36,,,,*48
00:00:21.736;A;$PRAYA,6,1,122,0,0,2,36,1,1,,,,,*5A
00:00:21.812;A;$GPDTM,W84,,0.000000,N,0.000000,E,0.0,W84*6F
00:00:21.907;A;$GPGGA,171538,3350.974,N,11823.991,W,2,07,1.1,-25.8,M,,M,1.8,,D*19
00:00:22.170;I;$POSMGYR,-516,-24,17680*6D
00:00:22.170;I;$POSMACC,-627,-339,9*5F
00:00:22.168;I;$POSMVCC,4897*79
00:00:22.065;A;$GPGGA,171537,3350.975,N,11823.991,W,2,07,1.1,-25.8,M,,M,1.8,,D*17
00:00:22.192;A;$GPGLL,3350.975,N,11823.991,W,171537,A,D*50
00:00:22.285;A;$GPRMC,171537,A,3350.975,N,11823.991,W,0.0,096.5,060401,013.0,E,D*07
00:00:22.430;A;$GPVTG,096.5,T,083.5,M,0.0,N,0.0,K,D*22
00:00:22.517;A;$GPGSA,A,2,04,09,07,24,02,05,26,,,,,,,1.1,*3C
00:00:22.619;A;$GPGSV,2,1,07,04,62,120,47,09,52,292,53,07,42,044,41,24,38,179,45*7B
00:00:22.760;A;$GPGSV,2,2,07,02,34,101,43,05,18,304,40,26,09,223,36,,,,*48
00:00:22.889;A;$PRAYA,6,1,122,0,0,2,36,1,1,,,,,*5A
00:00:22.964;A;$GPDTM,W84,,0.000000,N,0.000000,E,0.0,W84*6F
00:00:23.172;I;$POSMGYR,-624,-96,17636*6B
00:00:23.172;I;$POSMACC,-620,-342,17*6B
00:00:23.170;I;$POSMVCC,4940*72
00:00:23.060;A;$GPGGA,171538,3350.974,N,11823.991,W,2,07,1.1,-25.8,M,,M,1.8,,D*19
00:00:23.201;A;$GPGGA,171537,3350.975,N,11823.991,W,2,07,1.1,-25.8,M,,M,1.8,,D*17
00:00:23.348;A;$GPGLL,3350.975,N,11823.991,W,171537,A,D*50
00:00:23.437;A;$GPRMC,171537,A,3350.975,N,11823.991,W,0.0,096.5,060401,013.0,E,D*07
00:00:23.582;A;$GPVTG,096.5,T,083.5,M,0.0,N,0.0,K,D*22
00:00:23.669;A;$GPGSA,A,2,04,09,07,24,02,05,26,,,,,,,1.1,*3C
00:00:23.767;A;$GPGSV,2,1,07,04,62,120,47,09,52,292,53,07,42,044,41,24,38,179,45*7B
00:00:23.913;A;$GPGSV,2,2,07,02,34,101,43,05,18,304,40,26,09,223,36,,,,*48
00:00:24.039;A;$PRAYA,6,1,122,0,0,2,36,1,1,,,,,*5A
00:00:24.175;I;$POSMGYR,-584,-116,17716*58
00:00:24.175;I;$POSMACC,-626,-345,3*5F
00:00:24.173;I;$POSMVCC,4834*70
00:00:24.120;A;$GPDTM,W84,,0.000000,N,0.000000,E,0.0,W84*6F
00:00:24.213;A;$GPGGA,171538,3350.974,N,11823.991,W,2,07,1.1,-25.8,M,,M,1.8,,D*19
00:00:24.354;A;$GPGGA,171537,3350.975,N,11823.991,W,2,07,1.1,-25.8,M,,M,1.8,,D*17
00:00:24.497;A;$GPGLL,3350.975,N,11823.991,W,171537,A,D*50
